device_id	unixtime	lat	lon	polygon_id
22295885c5f259beccf821b3348a5f3b	1546454775	41.30529	-72.5769	100263
28ac32c2c5c8dc76e155b1ba7fe7dd0d	1546445452	40.82883	-73.1516	100320
d6a23e27cc952de09f62a782ef743a52	1546452516	39.94931	-104.8972	100327
d6a23e27cc952de09f62a782ef743a52	1546390213	39.89331	-104.9335	100451
9e11e5a0d0a2824edb383613dcdc9764	1546457769	9.41026	-0.8839	100462
9e11e5a0d0a2824edb383613dcdc9764	1546454544	9.4103	-0.884	100553
d95cbe39f7fa08181be085f8fc306051	1546409464	33.94669	-83.7724	100591
187a78ca4c1fd3c14262daf6e3f41f7a	1546430230	40.81448	-91.1615	100704
a41f021b11bbe7c44825f0d402c0e1fa	1546460516	31.39902	-88.9505	100729
b857d73ca877a3f6b256835c23a80964	1546442328	29.8877	-84.589	100735
b857d73ca877a3f6b256835c23a80964	1546421608	29.88771	-84.589	1007678
b857d73ca877a3f6b256835c23a80964	1546431818	29.88771	-84.589	100768
b857d73ca877a3f6b256835c23a80964	1546396929	29.88771	-84.589	100939
188cc463d197122e9a4faeacf9c3b1f9	1546397191	30.33896	-87.111	100964
9482bf6299a12eb77d443664be461174	1546437440	30.24428	-85.5637	101021
f5713679ff54afb069fde5c1c1e17c5b	1546434632	39.923	-82.8664	101032
fe61058013130d321a2170663d90e4be	1546391240	35.61805	-82.3158	101122
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546437642	28.11269	-81.9402	101198
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546437249	28.03648	-82.0457	101205
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546463216	28.3776	-81.5656	101251
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546438079	28.15716	-81.7999	101261
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546439479	28.32574	-81.5687	101272
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546439082	28.26319	-81.6107	1021860
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546438358	28.19547	-81.7102	1022182
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546462252	28.35375	-81.5899	1022204
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546436605	28.01865	-82.1049	1022297
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546438117	28.15817	-81.7891	1022507
d4246eab5eb4c1a8aa1c81a3d6d2be0d	1546438125	28.16057	-81.7838	1022753
ea095933a450da90036058ab10eee550	1546435799	34.26101	-81.6001	1022785
1ab64c7ca489f9bc4fbd30dedae12a38	1546401563	41.52503	-88.0817	1022878
2b6694cd8c9d1c5931ec995831f00d6d	1546454923	36.17371	-115.1226	1022917
7f52d4dae7afcaab1d4b8e2e6fb9b934	1546453488	36.5816	-105.4529	1022929
7f52d4dae7afcaab1d4b8e2e6fb9b934	1546466074	36.59508	-105.4493	NULL
143c7edb6ab3305d8d57a2478cc99c49	1546441875	39.8395	-88.9465	NULL
72002706acea764cbbdfb52678e7bd91	1546409377	36.17495	-95.6358	NULL
c6b97aa2b5c8f0b1d4ee99ecbff0c09d	1546405575	35.61672	-119.659	6086847
c6b97aa2b5c8f0b1d4ee99ecbff0c09d	1546460830	34.06235	-118.3062	6616203
c6b97aa2b5c8f0b1d4ee99ecbff0c09d	1546443633	34.15243	-118.1034	NULL
f447f30ee2ffe22c33edfda819ae308b	1546436295	43.15968	-76.0972	NULL
4683c406487f32855ce01f84c8bda402	1546392473	34.03604	-118.4552	NULL
0454306dc3667ca9d7d8cae3720f1d88	1546444192	40.8081	-75.0802	NULL
8f0bca2e0fe33560560feab6268c9889	1546398579	48.92243	-122.2948	NULL
e8849f956757259e048c55c5174ba3a4	1546469725	38.77897	-89.9539	NULL
e8849f956757259e048c55c5174ba3a4	1546430905	38.92477	-89.8472	NULL
c5fbb1a5181ff9a02fb63629f580ee48	1546432683	35.92382	-78.8615	NULL
8b07f967306149a1ff309acda698ed0a	1546432152	43.34742	-97.422	NULL
e1a5b1f37737156397d91dd2000f49c7	1546410354	36.12613	-115.0607	NULL
c63a489e91bdabe1c44c7f41ea350826	1546456254	34.32464	-78.7079	NULL
c63a489e91bdabe1c44c7f41ea350826	1546447593	34.34447	-78.7083	NULL
1e250919f80d8e36be9982ae29cc076a	1546420589	37.93912	-122.3533	NULL
af403452c7d01baeaf7116e25b1b0368	1546452197	40.08659	-82.8898	NULL
0d2d94a6693531da97f6a4190def8d8f	1546400955	35.0486	-85.155	NULL
6a939cf984bc3f38f1d12583603b4442	1546408105	43.63754	-116.2518	NULL
62067ae59c66eebb78a32204682c6bb6	1546445180	35.30239	-93.1789	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546401634	45.44002	-122.779	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546471405	45.43984	-122.7789	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546431393	45.44002	-122.779	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546458505	45.43999	-122.779	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546421557	45.43986	-122.7789	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546467479	45.43984	-122.7789	NULL
b14672fa4f5dfd54f42ecfe74101c6bb	1546467550	45.43984	-122.7789	NULL
899a61a6241e473c86babf42b47feb14	1546451272	29.64637	-95.5285	NULL
b94365b59fa479cca978de3139180d5d	1546451637	39.17725	-77.2414	NULL
38a171e1b5f73485dd622988f3a2a4d2	1546413990	45.57495	-94.1692	1880934
6d8f9bfa3e38f724c99bf155afc6009b	1546392042	33.71957	-85.0787	NULL
216fdf6cfeb59de1673cdda83de279a8	1546432588	36.0116	-80.0015	NULL
1ccef305786d41003a902123636da8f0	1546429000	41.70711	-87.6675	NULL
1bc2fd87588e9cc18a8f4f3d946cfa7a	1546451675	35.16771	-92.7295	NULL
1bc2fd87588e9cc18a8f4f3d946cfa7a	1546388106	35.16573	-92.7295	NULL
982036752678c8a696b020fc7c1a67a4	1546435699	34.32259	-88.491	NULL
01c54e71c773858cd945b66294c494d3	1546433579	37.33602	-77.4361	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546469829	27.12545	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546421367	27.12541	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546403511	27.1254	-80.2036	NULL
0f35e5d22e52b7b79ab144a9fa9f462a	1546421810	27.1254	-80.2036	NULL
25a9a198f6325c8d63071fbfbaf7abc1	1546443505	37.70631	-121.0874	NULL
96e3555ec4a7220a180d94b157812480	1546388512	38.90484	-76.9741	NULL
96e3555ec4a7220a180d94b157812480	1546449635	38.90467	-76.9745	NULL
96e3555ec4a7220a180d94b157812480	1546470931	38.90456	-76.9745	NULL
96e3555ec4a7220a180d94b157812480	1546470372	38.9045	-76.9744	NULL
96e3555ec4a7220a180d94b157812480	1546388506	38.90465	-76.9744	NULL
e1e771af107aeb72e68f231810a1e490	1546469030	39.21855	-84.3693	NULL
e1e771af107aeb72e68f231810a1e490	1546452281	39.24497	-84.3661	NULL
e1e771af107aeb72e68f231810a1e490	1546470085	39.15114	-84.4666	NULL
e1e771af107aeb72e68f231810a1e490	1546469062	39.21356	-84.3702	NULL
791df6dbf15852ee7dd8392c8792f565	1546390578	40.3356	-79.5507	NULL
d38d960e285c5c6a996d8e058386c524	1546395536	33.1712	-96.7548	NULL
da457c95421989886dd36ddfd4ae73a4	1546435810	26.41936	-98.3306	NULL
7441908a010770188bb4e5cde3f2e05a	1546397815	35.27104	-82.6822	NULL
7441908a010770188bb4e5cde3f2e05a	1546396059	35.27121	-82.6825	NULL
c823887c98b2084ccfcdce85ed580223	1546458339	37.88944	-122.1246	NULL
4a6aa112711a753d688d04ebf50ce043	1546401878	35.22551	-89.8455	NULL
d15d4ee71f4cc69ad0de749434bcb277	1546399212	37.28019	-80.0648	NULL
d15d4ee71f4cc69ad0de749434bcb277	1546399079	37.2802	-80.0648	NULL
7cf29fc76e22b8cb21812267d4756195	1546416314	43.4159	-123.1134	NULL
4edabb92383ebff06629ed35161da2df	1546431886	31.11712	-97.3182	NULL
63f090733436642edb2996161b86cf01	1546387371	33.86597	-118.0528	NULL
c6ef52e50685792bec4797a61141295c	1546465670	45.47747	-122.8029	NULL
92ad43dcb3e0dead109624bf9b91fa3b	1546438204	36.39337	-81.4887	NULL
92ad43dcb3e0dead109624bf9b91fa3b	1546452678	36.38164	-81.5069	NULL
